datetime,open,close,high,low,volume,amount,avg_price
2026-02-09 14:27:00,11.06,11.05,11.06,11.05,2091,2311140.0,11.056
2026-02-09 14:28:00,11.05,11.06,11.06,11.05,1175,1298562.0,11.056
2026-02-09 14:29:00,11.06,11.06,11.06,11.05,4339,4798564.0,11.056
2026-02-09 14:30:00,11.06,11.06,11.06,11.05,1097,1212679.0,11.056
2026-02-09 14:31:00,11.06,11.05,11.06,11.05,936,1035074.0,11.056
2026-02-09 14:32:00,11.05,11.05,11.06,11.05,500,552667.0,11.056
2026-02-09 14:33:00,11.05,11.05,11.06,11.05,1010,1115972.0,11.056
2026-02-09 14:34:00,11.05,11.05,11.06,11.05,594,656480.0,11.056
2026-02-09 14:35:00,11.05,11.05,11.06,11.05,1478,1633356.0,11.056
2026-02-09 14:36:00,11.05,11.05,11.06,11.05,741,819186.0,11.056
2026-02-09 14:37:00,11.05,11.05,11.06,11.05,921,1018000.0,11.056
2026-02-09 14:38:00,11.05,11.05,11.06,11.05,1115,1232657.0,11.056
2026-02-09 14:39:00,11.05,11.05,11.06,11.05,5057,5592468.0,11.056
2026-02-09 14:40:00,11.05,11.05,11.06,11.05,779,861444.0,11.056
2026-02-09 14:41:00,11.05,11.05,11.06,11.05,3904,4317455.0,11.056
2026-02-09 14:42:00,11.05,11.05,11.06,11.05,2934,3244834.0,11.056
2026-02-09 14:43:00,11.05,11.06,11.06,11.05,4077,4508992.0,11.056
2026-02-09 14:44:00,11.06,11.05,11.06,11.05,1584,1751472.0,11.056
2026-02-09 14:45:00,11.05,11.05,11.06,11.05,2173,2402968.0,11.056
2026-02-09 14:46:00,11.05,11.05,11.06,11.05,1775,1962720.0,11.056
2026-02-09 14:47:00,11.05,11.07,11.07,11.05,4633,5124205.0,11.056
2026-02-09 14:48:00,11.07,11.07,11.07,11.06,376,416090.0,11.056
2026-02-09 14:49:00,11.07,11.06,11.07,11.06,832,920387.0,11.056
2026-02-09 14:50:00,11.06,11.06,11.07,11.06,1920,2124746.0,11.056
2026-02-09 14:51:00,11.06,11.06,11.07,11.06,2197,2431501.0,11.056
2026-02-09 14:52:00,11.06,11.07,11.07,11.06,1555,1721137.0,11.056
2026-02-09 14:53:00,11.07,11.06,11.07,11.06,2409,2665262.0,11.056
2026-02-09 14:54:00,11.06,11.06,11.07,11.06,2046,2264231.0,11.056
2026-02-09 14:55:00,11.06,11.06,11.07,11.06,2752,3045186.0,11.057
2026-02-09 14:56:00,11.06,11.06,11.07,11.06,5461,6043345.0,11.057
2026-02-09 14:57:00,11.06,11.06,11.08,11.06,9109,10083168.0,11.057
2026-02-09 14:58:00,11.06,11.07,11.07,11.07,52,57544.0,11.057
2026-02-09 14:59:00,11.07,11.07,11.07,11.07,0,0.0,11.057
2026-02-09 15:00:00,11.07,11.07,11.07,11.07,10436,11552873.0,11.057
2026-02-10 09:30:00,11.07,11.07,11.07,11.07,1910,2114370.0,11.07
2026-02-10 09:31:00,11.07,11.06,11.06,11.05,5266,5821966.0,11.06
2026-02-10 09:32:00,11.06,11.06,11.07,11.05,3955,4375675.0,11.061
2026-02-10 09:33:00,11.06,11.07,11.07,11.06,2655,2936907.0,11.061
2026-02-10 09:34:00,11.07,11.05,11.07,11.05,4215,4661808.0,11.061
2026-02-10 09:35:00,11.05,11.05,11.06,11.05,2193,2423985.0,11.06
2026-02-10 09:36:00,11.05,11.06,11.06,11.05,4842,5353781.0,11.06
2026-02-10 09:37:00,11.06,11.08,11.09,11.06,7977,8833902.0,11.063
2026-02-10 09:38:00,11.08,11.09,11.1,11.08,5930,6577216.0,11.068
2026-02-10 09:39:00,11.09,11.09,11.1,11.09,6884,7635281.0,11.071
2026-02-10 09:40:00,11.09,11.07,11.09,11.07,7574,8392315.0,11.072
2026-02-10 09:41:00,11.07,11.08,11.08,11.07,3081,3412077.0,11.073
2026-02-10 09:42:00,11.08,11.07,11.08,11.07,1261,1396699.0,11.073
2026-02-10 09:43:00,11.07,11.08,11.08,11.07,497,550469.0,11.073
2026-02-10 09:44:00,11.08,11.09,11.1,11.07,22392,24823525.0,11.076
2026-02-10 09:45:00,11.09,11.09,11.1,11.08,2761,3061733.0,11.077
2026-02-10 09:46:00,11.09,11.09,11.09,11.08,5264,5837280.0,11.078
2026-02-10 09:47:00,11.09,11.09,11.1,11.09,4035,4475824.0,11.078
2026-02-10 09:48:00,11.09,11.09,11.1,11.08,3367,3734629.0,11.079
2026-02-10 09:49:00,11.09,11.08,11.1,11.07,12437,13781035.0,11.079
2026-02-10 09:50:00,11.08,11.07,11.08,11.07,7093,7851966.0,11.078
2026-02-10 09:51:00,11.07,11.06,11.07,11.06,11009,12176328.0,11.077
2026-02-10 09:52:00,11.06,11.06,11.07,11.06,934,1033412.0,11.077
2026-02-10 09:53:00,11.06,11.06,11.07,11.06,3604,3988785.0,11.076
2026-02-10 09:54:00,11.06,11.07,11.07,11.06,1681,1860214.0,11.076
2026-02-10 09:55:00,11.07,11.07,11.07,11.05,5984,6618187.0,11.076
2026-02-10 09:56:00,11.07,11.06,11.07,11.05,2002,2212840.0,11.075
2026-02-10 09:57:00,11.06,11.06,11.07,11.05,2065,2283514.0,11.075
2026-02-10 09:58:00,11.06,11.07,11.07,11.05,1080,1194433.0,11.075
2026-02-10 09:59:00,11.07,11.07,11.07,11.06,1181,1306819.0,11.075
2026-02-10 10:00:00,11.07,11.07,11.07,11.06,1911,2114203.0,11.075
2026-02-10 10:01:00,11.07,11.07,11.07,11.06,7153,7912723.0,11.074
2026-02-10 10:02:00,11.07,11.08,11.08,11.07,2549,2821842.0,11.074
2026-02-10 10:03:00,11.08,11.06,11.08,11.06,1692,1872592.0,11.074
2026-02-10 10:04:00,11.06,11.06,11.07,11.06,2866,3171793.0,11.074
2026-02-10 10:05:00,11.06,11.07,11.07,11.06,452,500132.0,11.074
2026-02-10 10:06:00,11.07,11.08,11.08,11.06,6263,6933254.0,11.074
2026-02-10 10:07:00,11.08,11.07,11.08,11.06,3236,3580504.0,11.074
2026-02-10 10:08:00,11.07,11.07,11.07,11.06,289,319756.0,11.074
2026-02-10 10:09:00,11.07,11.06,11.07,11.06,511,565512.0,11.074
2026-02-10 10:10:00,11.06,11.07,11.07,11.06,519,574123.0,11.073
2026-02-10 10:11:00,11.07,11.04,11.07,11.04,20982,23189909.0,11.071
2026-02-10 10:12:00,11.04,11.06,11.06,11.04,17327,19147734.0,11.069
2026-02-10 10:13:00,11.06,11.05,11.06,11.05,1696,1874528.0,11.069
2026-02-10 10:14:00,11.05,11.05,11.06,11.05,525,580264.0,11.069
2026-02-10 10:15:00,11.05,11.05,11.06,11.05,9741,10760761.0,11.068
2026-02-10 10:16:00,11.05,11.05,11.06,11.04,2771,3062076.0,11.068
2026-02-10 10:17:00,11.05,11.04,11.05,11.03,14666,16188903.0,11.066
2026-02-10 10:18:00,11.04,11.04,11.04,11.03,1578,1741554.0,11.066
2026-02-10 10:19:00,11.04,11.04,11.04,11.03,3059,3375862.0,11.066
2026-02-10 10:20:00,11.04,11.05,11.05,11.03,4201,4637422.0,11.065
2026-02-10 10:21:00,11.05,11.03,11.05,11.03,4355,4807341.0,11.065
2026-02-10 10:22:00,11.03,11.04,11.04,11.03,4563,5033926.0,11.064
2026-02-10 10:23:00,11.04,11.04,11.04,11.03,1432,1579843.0,11.064
2026-02-10 10:24:00,11.04,11.03,11.04,11.02,12753,14066513.0,11.062
2026-02-10 10:25:00,11.03,11.04,11.04,11.02,991,1093490.0,11.062
2026-02-10 10:26:00,11.04,11.03,11.04,11.02,4319,4763367.0,11.062
2026-02-10 10:27:00,11.03,11.03,11.04,11.03,1077,1188076.0,11.062
2026-02-10 10:28:00,11.03,11.05,11.05,11.03,13303,14686154.0,11.061
2026-02-10 10:29:00,11.05,11.05,11.05,11.04,17792,19653771.0,11.06
2026-02-10 10:30:00,11.05,11.06,11.06,11.05,1014,1120851.0,11.06
2026-02-10 10:31:00,11.06,11.06,11.07,11.05,2374,2625202.0,11.06
2026-02-10 10:32:00,11.06,11.06,11.07,11.06,887,981145.0,11.06
2026-02-10 10:33:00,11.06,11.07,11.07,11.06,667,737852.0,11.06
2026-02-10 10:34:00,11.07,11.06,11.07,11.06,870,962328.0,11.06
2026-02-10 10:35:00,11.06,11.06,11.07,11.06,700,774534.0,11.06
2026-02-10 10:36:00,11.06,11.07,11.07,11.06,743,822523.0,11.06
2026-02-10 10:37:00,11.07,11.07,11.07,11.06,687,760175.0,11.06
2026-02-10 10:38:00,11.07,11.07,11.07,11.06,2303,2547403.0,11.06
2026-02-10 10:39:00,11.07,11.06,11.07,11.06,759,839868.0,11.06
2026-02-10 10:40:00,11.06,11.07,11.07,11.06,904,1000438.0,11.06
2026-02-10 10:41:00,11.07,11.07,11.07,11.06,1968,2178077.0,11.06
2026-02-10 10:42:00,11.07,11.07,11.07,11.06,8703,9633744.0,11.06
2026-02-10 10:43:00,11.07,11.08,11.08,11.07,2208,2444615.0,11.06
2026-02-10 10:44:00,11.08,11.07,11.08,11.07,2438,2699067.0,11.06
2026-02-10 10:45:00,11.07,11.06,11.08,11.06,3214,3556816.0,11.06
2026-02-10 10:46:00,11.06,11.05,11.07,11.05,5799,6413216.0,11.06
2026-02-10 10:47:00,11.05,11.06,11.06,11.05,2095,2316979.0,11.06
2026-02-10 10:48:00,11.06,11.06,11.07,11.05,923,1020808.0,11.06
2026-02-10 10:49:00,11.06,11.05,11.06,11.05,883,976480.0,11.06
2026-02-10 10:50:00,11.05,11.06,11.06,11.05,798,882434.0,11.06
2026-02-10 10:51:00,11.06,11.06,11.06,11.05,954,1055015.0,11.06
2026-02-10 10:52:00,11.06,11.06,11.06,11.05,385,425737.0,11.06
2026-02-10 10:53:00,11.06,11.05,11.06,11.05,469,518609.0,11.06
2026-02-10 10:54:00,11.05,11.06,11.06,11.05,681,752907.0,11.06
2026-02-10 10:55:00,11.06,11.06,11.06,11.05,390,431304.0,11.06
2026-02-10 10:56:00,11.06,11.05,11.06,11.05,1155,1276520.0,11.06
2026-02-10 10:57:00,11.05,11.05,11.06,11.05,965,1067116.0,11.06
2026-02-10 10:58:00,11.05,11.06,11.07,11.05,1328,1468693.0,11.06
2026-02-10 10:59:00,11.06,11.06,11.07,11.06,2045,2261896.0,11.06
2026-02-10 11:00:00,11.06,11.06,11.07,11.05,876,968776.0,11.06
2026-02-10 11:01:00,11.06,11.06,11.07,11.06,544,601721.0,11.06
