成交时间,成交价格,价格变动,成交量,成交金额,性质
09:48:24,10.96,0.0,4,4384,卖盘
09:48:27,10.96,0.0,120,131620,卖盘
09:48:30,10.96,0.0,3,3288,卖盘
09:48:33,10.96,0.0,96,105261,卖盘
09:48:36,10.96,0.0,6,6576,卖盘
09:48:39,10.96,0.0,1,1096,卖盘
09:48:42,10.96,0.0,1,1096,卖盘
09:48:45,10.96,0.0,62,67956,卖盘
09:48:48,10.96,0.0,17,18639,卖盘
09:48:51,10.97,0.01,20,21928,买盘
09:48:54,10.96,-0.01,26,28496,卖盘
09:48:57,10.96,0.0,31,34004,卖盘
09:49:00,10.96,0.0,44,48224,卖盘
09:49:03,10.97,0.01,311,341006,买盘
09:49:06,10.97,0.0,24,26327,买盘
09:49:09,10.96,-0.01,1,1096,卖盘
09:49:12,10.96,0.0,2,2192,卖盘
09:49:15,10.97,0.01,101,110697,买盘
09:49:18,10.97,0.0,97,106339,买盘
09:49:21,10.96,-0.01,638,699759,卖盘
09:49:24,10.96,0.0,103,112888,卖盘
09:49:30,10.96,0.0,76,83307,卖盘
09:49:33,10.96,0.0,81,88785,卖盘
09:49:36,10.97,0.01,115,126055,买盘
09:49:39,10.96,-0.01,144,157895,卖盘
09:49:42,10.96,0.0,30,32880,卖盘
09:49:45,10.96,0.0,24,26304,卖盘
09:49:48,10.97,0.01,582,638430,买盘
09:49:54,10.97,0.0,1,1097,买盘
09:49:57,10.97,0.0,9,9873,买盘
09:50:00,10.97,0.0,3,3291,买盘
09:50:03,10.96,-0.01,20,21920,卖盘
09:50:06,10.96,0.0,4,4386,卖盘
09:50:09,10.97,0.01,24,26305,买盘
09:50:12,10.97,0.0,253,277530,买盘
09:50:15,10.96,-0.01,599,657011,卖盘
09:50:18,10.96,0.0,146,160060,卖盘
09:50:21,10.96,0.0,47,51520,卖盘
09:50:24,10.97,0.01,73,80028,买盘
09:50:27,10.97,0.0,80,87760,买盘
09:50:30,10.96,-0.01,5,5481,卖盘
09:50:33,10.96,0.0,6,6576,卖盘
09:50:36,10.96,0.0,28,30706,卖盘
09:50:39,10.96,0.0,2,2192,卖盘
09:50:42,10.96,0.0,11,12056,卖盘
09:50:45,10.96,0.0,13,14252,卖盘
09:50:48,10.96,0.0,132,144672,卖盘
09:50:51,10.96,0.0,34,37288,卖盘
09:50:54,10.97,0.01,70,76789,买盘
09:50:57,10.97,0.0,30,32908,买盘
09:51:00,10.97,0.0,77,84465,买盘
09:51:03,10.97,0.0,1495,1640015,买盘
09:51:06,10.98,0.01,21,23043,买盘
09:51:09,10.98,0.0,46,50507,买盘
09:51:12,10.98,0.0,14,15372,买盘
09:51:15,10.97,-0.01,20,21940,卖盘
09:51:18,10.98,0.01,14,15372,买盘
09:51:24,10.98,0.0,24,26352,买盘
09:51:27,10.98,0.0,1,1098,买盘
09:51:30,10.98,0.0,159,174582,买盘
09:51:33,10.98,0.0,7,7686,买盘
09:51:36,10.98,0.0,50,54900,买盘
09:51:39,10.98,0.0,16,17568,买盘
09:51:42,10.98,0.0,165,181170,买盘
